thiNksmaRt Library Books Catalog,,,,,,,
CIVILS,,,,,,,
TSBN,ISBN,Card No.,Book Title,Author,Publication,Edition/Part,Copies
CSE143,,143,Introductory Macroeconomics,NCERT,,,
CSE144,,144,Understanding Economic Develpoment,NCERT,,C2,
CSE145,,145,Contemporary India 2,NCERT,,,
CSE146,,146,Indian Introducing Sociology,NCERT,,,
CSE147,,147,Fundamentals of Human geography,NCERT,,,
CSE148,,148,Social & political life 2,NCERT,,,
CSE149,,149,Contemporary World polotics,NCERT,,,
CSE150,,150,Democratic Polotics 2,NCERT,,,
CSE151,,151,Themes In World History,NCERT,,,
CSE152,,152,Social & political life 3,NCERT,,,
CSE153,,153,Politics In india Since independence,NCERT,,,
CSE154,,154,Fundamentals of Physical geography,NCERT,,,
CSE155,,155,Indian Society,NCERT,,,
CSE156,,156,Indian people & economy,NCERT,,,
CSE157,9788131696193,157,Ethics Integrity and Aptitude,PD sharma,,,
CSE158,,158,Together Towards Safer India,CBSE,,,
CSE159,9789383452815,159,Economic develpoment in india,AV balakrishnan,Axis ,,
CSE160,8121903645,160,History Of medeval india ,VD mahajan,Schand,,
CSE161,9780195699494,161,Bascis of Environmental Studies,R rajagopalan,OUP,,
CSE162,9789332549920,162,Ethics ,Willaim K Frankena,Pearson,,
CSE163,9789352606627,163,Indian History ,Krihna reddy,MGh,,
CSE164,9788132105664,164,Essay Writing,Munling Shields,Sage,,
CSE165,8179304507,165,Indian Culture ,,Spectrum,,
CSE166,,166,Analytical Reasoning,MK pandey,BSE,P1,
CSE167,,167,Analytical Reasoning,MK pandey,,P2,
CSE168,,168,Geagraphy ,NCERT,,,
CSE169,,225,Contemporary Essays,Abhishek Tyagi,Shakunthala,,
CSE170,,226,TSNB 004 Replace,,,,
CSE171,,227,plassey to partition,Sekhar bondopadhya,OBS,,
CSE172,,228,GS Main Answers ,Vandana Maheshwari,Hed,,
CSE173,,316,23 Years solved papers of GS Prelims,Mrunal,Disha,,
CSE174,9789386873026,317,General Studies Vol I,Edgar Thorpe,Pearson,,
CSE175,9789386873040,318,General Studies Vol III,Edgar Thorpe,Pearson,,
IIT,,,,,,,
IIT001,9788131529805,229,Physics JEE(2E)Mechanics -1,BM Sharma,cengage,,
IIT002,9788131529805,230,DPP Mechanics -1,BM Sharma,cengage,,
IIT003,9789387511248,231,JEE mathematics JEE Trignometry,G.tewani,cengage,,
IIT004,9789387511248,232,DPPTrignometry,G.tewani,cengage,,
IIT005,9789387511231,233,Mathematics Jee (ADV) coordinate Geomety,G.tewani,cengage,,
IIT006,9789387511231,234,DPP Coordinate Geometry,G.tewani,cengage,,
IIT007,9788131529980,235,jee (ADV) Physical Chemistry Part 1,k S warma,cengage,,
IIT008,9788131529980,236,Dpp Physical Chemistry,k S warma,cengage,,
IIT009,9788131530030,237,Jee(adv)inorganic Chemistry part 2,k S warma,cengage,,
IIT010,9788131530030,238,Dpp Inorganic chemistry,k S warma,cengage,,
IIT011,9789387511224,239,Mathematics Jee (ADV)calculus,G.tewani,cengage,,
IIT012,9789387511224,240,Dpp Calculus,G.tewani,cengage,,
IIT013,9788131529843,241,Physics JEE(adv) waves & thermodynamics,BM Sharma,cengage,,
IIT014,9788131529843,242,Dpp Waves & thermodynamics,BM Sharma,cengage,,
IIT015,9789387511286,243,Organic Chemistry (adv)part 1,k S warma,cengage,,
IIT016,9789387511286,244,DPP Organic Chemidtry,k S warma,cengage,,
IIT017,9789387511316,245,Physical chemistry JEE(adv)part 2,k S warma,cengage,,
IIT018,9789387511316,246,DPP Physical chemistry,k S warma,cengage,,
IIT019,9789387511163,247,Physics jee(adv)magnetism & electromagnetic induction,BM Sharma,cengage,,
IIT020,9789387511163,248,DPP magnetism & electromagnetic induction,BM Sharma,cengage,,
